Match_Id,Team_Name_Id,Opponent_Team_Id,Season_Id,Venue_Name,Toss_Winner_Id,Toss_Decision,Is_Superover,Is_Result,Is_DuckWorthLewis,Win_Type,Won_By,Match_Winner_Id,Man_Of_The_Match_Id,First_Umpire_Id,Second_Umpire_Id,City_Name,Host_Country
335987,2,1,1,M Chinnaswamy Stadium,2,field,0,1,0,by runs,140,1,2,470,477,Bangalore,India
335988,4,3,1,"Punjab Cricket Association Stadium, Mohali",3,bat,0,1,0,by runs,33,3,19,471,487,Chandigarh,India
335989,6,5,1,Feroz Shah Kotla,5,bat,0,1,0,by wickets,9,6,90,472,512,Delhi,India
335990,7,2,1,Wankhede Stadium,7,bat,0,1,0,by wickets,5,2,11,473,476,Mumbai,India
335991,1,8,1,Eden Gardens,8,bat,0,1,0,by wickets,5,1,4,474,486,Kolkata,India
335992,5,4,1,Sawai Mansingh Stadium,4,bat,0,1,0,by wickets,6,5,32,472,513,Jaipur,India
335993,8,6,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,9,6,41,475,492,Hyderabad,India
335994,3,7,1,"MA Chidambaram Stadium, Chepauk",7,field,0,1,0,by runs,6,3,18,476,512,Chennai,India
335995,8,5,1,"Rajiv Gandhi International Stadium, Uppal",5,field,0,1,0,by wickets,3,5,31,470,471,Hyderabad,India
335996,4,7,1,"Punjab Cricket Association Stadium, Mohali",7,field,0,1,0,by runs,66,4,26,472,492,Chandigarh,India
335997,2,5,1,M Chinnaswamy Stadium,5,field,0,1,0,by wickets,7,5,32,471,475,Bangalore,India
335998,3,1,1,"MA Chidambaram Stadium, Chepauk",1,bat,0,1,0,by wickets,9,3,22,474,479,Chennai,India
335999,7,8,1,Dr DY Patil Sports Academy,8,field,0,1,0,by wickets,10,8,53,470,487,Mumbai,India
336000,4,6,1,"Punjab Cricket Association Stadium, Mohali",6,bat,0,1,0,by wickets,4,4,28,477,514,Chandigarh,India
336001,2,3,1,M Chinnaswamy Stadium,3,bat,0,1,0,by runs,13,3,20,478,513,Bangalore,India
336002,1,7,1,Eden Gardens,1,bat,0,1,0,by wickets,7,7,44,474,479,Kolkata,India
336003,6,2,1,Feroz Shah Kotla,2,field,0,1,0,by runs,10,6,118,472,514,Delhi,India
336004,8,4,1,"Rajiv Gandhi International Stadium, Uppal",4,field,0,1,0,by wickets,7,4,100,478,513,Hyderabad,India
336005,5,1,1,Sawai Mansingh Stadium,5,bat,0,1,0,by runs,45,5,101,477,512,Jaipur,India
336006,3,6,1,"MA Chidambaram Stadium, Chepauk",3,bat,0,1,0,by wickets,8,6,41,474,486,Chennai,India
336007,8,2,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,5,2,81,470,477,Hyderabad,India
336008,4,1,1,"Punjab Cricket Association Stadium, Mohali",4,bat,0,1,0,by runs,9,4,29,476,514,Chandigarh,India
336009,7,6,1,Dr DY Patil Sports Academy,6,field,0,1,0,by runs,29,7,49,475,477,Mumbai,India
336010,5,3,1,Sawai Mansingh Stadium,3,bat,0,1,0,by wickets,8,5,102,470,479,Jaipur,India
336011,2,4,1,M Chinnaswamy Stadium,4,field,0,1,0,by wickets,6,4,77,473,478,Bangalore,India
336012,3,8,1,"MA Chidambaram Stadium, Chepauk",8,field,0,1,0,by wickets,7,8,53,471,513,Chennai,India
336013,7,5,1,Dr DY Patil Sports Academy,7,field,0,1,0,by wickets,7,7,73,476,477,Mumbai,India
336014,6,3,1,Feroz Shah Kotla,3,field,0,1,0,by wickets,4,3,20,472,513,Delhi,India
336015,1,2,1,Eden Gardens,1,bat,0,1,0,by runs,5,1,1,470,475,Kolkata,India
336016,5,8,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,8,5,31,471,492,Jaipur,India
336017,2,7,1,M Chinnaswamy Stadium,7,field,0,1,0,by wickets,9,7,149,474,479,Bangalore,India
336018,3,4,1,"MA Chidambaram Stadium, Chepauk",4,field,0,1,0,by runs,18,3,151,479,480,Chennai,India
336019,8,1,1,"Rajiv Gandhi International Stadium, Uppal",1,bat,0,1,0,by runs,23,1,1,475,492,Hyderabad,India
336020,5,6,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,3,5,32,473,477,Jaipur,India
336021,4,2,1,"Punjab Cricket Association Stadium, Mohali",2,bat,0,1,0,by wickets,9,4,100,478,514,Chandigarh,India
336022,1,6,1,Eden Gardens,1,bat,0,1,0,by runs,23,1,144,470,475,Kolkata,India
336023,7,3,1,Wankhede Stadium,7,field,0,1,0,by wickets,9,7,44,478,492,Mumbai,India
336024,4,5,1,"Punjab Cricket Association Stadium, Mohali",5,field,0,1,0,by runs,41,4,100,473,486,Chandigarh,India
336025,6,8,1,Feroz Shah Kotla,8,field,0,1,0,by runs,12,6,136,480,512,Delhi,India
336026,7,1,1,Wankhede Stadium,7,field,0,1,0,by wickets,8,7,49,478,476,Mumbai,India
336027,6,4,1,Feroz Shah Kotla,6,bat,0,1,1,by runs,6,4,64,479,477,Delhi,India
336028,5,2,1,Sawai Mansingh Stadium,2,field,0,1,0,by runs,65,5,74,474,487,Jaipur,India
336029,8,7,1,"Rajiv Gandhi International Stadium, Uppal",8,field,0,1,0,by runs,25,7,71,478,476,Hyderabad,India
336030,1,3,1,Eden Gardens,1,bat,0,1,1,by runs,3,3,122,470,486,Kolkata,India
336031,2,6,1,M Chinnaswamy Stadium,6,field,0,1,0,by wickets,5,6,132,473,512,Bangalore,India
336032,1,5,1,Eden Gardens,5,field,0,1,0,by wickets,6,5,31,480,477,Kolkata,India
336033,7,4,1,Wankhede Stadium,7,field,0,1,0,by runs,1,4,100,474,512,Mumbai,India
336034,3,2,1,"MA Chidambaram Stadium, Chepauk",2,bat,0,1,0,by runs,14,2,124,476,514,Chennai,India
336036,4,8,1,"Punjab Cricket Association Stadium, Mohali",4,field,0,1,0,by wickets,6,4,100,470,473,Chandigarh,India
336037,6,7,1,Feroz Shah Kotla,6,field,0,1,0,by wickets,5,6,88,474,486,Delhi,India
336038,3,5,1,"MA Chidambaram Stadium, Chepauk",5,bat,0,1,0,by runs,10,5,109,476,487,Chennai,India
336039,2,8,1,M Chinnaswamy Stadium,8,field,0,1,0,by runs,3,2,14,478,487,Bangalore,India
336040,1,4,1,Eden Gardens,4,bat,0,1,0,by wickets,3,1,105,473,514,Kolkata,India
336041,5,7,1,Sawai Mansingh Stadium,5,field,0,1,0,by wickets,5,5,102,474,486,Jaipur,India
336042,8,3,1,"Rajiv Gandhi International Stadium, Uppal",8,bat,0,1,0,by wickets,7,3,21,480,492,Hyderabad,India
336043,6,5,1,Wankhede Stadium,6,field,0,1,0,by runs,105,5,32,474,477,Mumbai,India
336044,3,4,1,Wankhede Stadium,4,bat,0,1,0,by wickets,9,3,122,470,476,Mumbai,India
336045,3,5,1,Dr DY Patil Sports Academy,5,field,0,1,0,by wickets,3,5,31,474,477,Mumbai,India
392186,3,7,2,Newlands,3,field,0,1,0,by runs,19,7,133,478,486,Cape Town,South Africa
392187,2,5,2,Newlands,2,bat,0,1,0,by runs,75,2,6,478,513,Cape Town,South Africa
392188,6,4,2,Newlands,6,field,0,1,1,by wickets,10,6,175,471,515,Cape Town,South Africa
392189,8,1,2,Newlands,1,bat,0,1,0,by wickets,8,8,61,471,478,Cape Town,South Africa
392190,2,3,2,St George's Park,3,bat,0,1,0,by runs,92,3,121,480,490,Port Elizabeth,South Africa
392191,4,1,2,Kingsmead,1,field,0,1,1,by runs,11,1,162,476,515,Durban,South Africa
392193,2,8,2,Newlands,8,bat,0,1,0,by runs,24,8,53,481,492,Cape Town,South Africa
392194,3,6,2,Kingsmead,6,bat,0,1,0,by runs,9,6,110,478,490,Durban,South Africa
392195,1,5,2,Newlands,1,field,1,1,0,Tie,NULL,5,31,471,481,Cape Town,South Africa
392196,2,4,2,Kingsmead,2,bat,0,1,0,by wickets,7,4,161,478,516,Durban,South Africa
392197,8,7,2,Kingsmead,8,bat,0,1,0,by runs,12,8,131,482,490,Durban,South Africa
392199,2,6,2,St George's Park,2,bat,0,1,0,by wickets,6,6,135,483,480,Port Elizabeth,South Africa
392200,4,5,2,Newlands,4,bat,0,1,0,by runs,27,4,26,481,486,Cape Town,South Africa
392201,3,8,2,Kingsmead,8,field,0,1,0,by wickets,6,8,97,475,516,Durban,South Africa
392202,1,7,2,St George's Park,7,bat,0,1,0,by runs,92,7,133,480,513,Port Elizabeth,South Africa
392203,6,5,2,SuperSport Park,6,bat,0,1,0,by wickets,5,5,31,484,477,Centurion,South Africa
392204,2,1,2,Kingsmead,1,bat,0,1,0,by wickets,5,2,11,471,516,Durban,South Africa
392205,4,7,2,Kingsmead,4,bat,0,1,0,by runs,3,4,26,471,487,Durban,South Africa
392206,8,6,2,SuperSport Park,6,field,0,1,0,by wickets,6,6,223,484,492,Centurion,South Africa
392207,3,5,2,SuperSport Park,5,field,0,1,0,by runs,38,3,21,484,477,Centurion,South Africa
392208,1,7,2,Buffalo Park,7,bat,0,1,0,by runs,9,7,154,481,488,East London,South Africa
392209,2,4,2,Kingsmead,2,bat,0,1,0,by runs,8,2,27,482,489,Durban,South Africa
392210,8,5,2,St George's Park,8,bat,0,1,0,by wickets,3,5,31,483,480,Port Elizabeth,South Africa
392211,3,6,2,New Wanderers Stadium,6,field,0,1,0,by runs,18,3,186,476,477,Johannesburg,South Africa
392212,4,1,2,St George's Park,1,bat,0,1,0,by wickets,6,4,64,483,471,Port Elizabeth,South Africa
