Player_Id,Player_Name,Batting_Hand,Bowling_Skill,Country,Is_Umpire
1,SC Ganguly,Left_Hand,Right-arm medium,India,0
2,BB McCullum,Right_Hand,Right-arm medium,New Zealand,0
3,RT Ponting,Right_Hand,Right-arm medium,Australia,0
4,DJ Hussey,Right_Hand,Right-arm offbreak,Australia,0
5,Mohammad Hafeez,Right_Hand,Right-arm offbreak,Pakistan,0
6,R Dravid,Right_Hand,Right-arm offbreak,India,0
7,W Jaffer,Right_Hand,Right-arm offbreak,India,0
8,V Kohli,Right_Hand,Right-arm medium,India,0
9,JH Kallis,Right_Hand,Right-arm fast-medium,South Africa,0
10,CL White,Right_Hand,Legbreak googly,Australia,0
11,MV Boucher,Right_Hand,Right-arm medium,South Africa,0
12,B Akhil,Right_Hand,Right-arm medium-fast,India,0
13,AA Noffke,Right_Hand,Right-arm fast-medium,Australia,0
14,P Kumar,Right_Hand,Right-arm medium,India,0
15,Z Khan,Right_Hand,Left-arm fast-medium,India,0
16,SB Joshi,Left_Hand,Slow left-arm orthodox,India,0
17,PA Patel,Left_Hand,NULL,India,0
18,ML Hayden,Left_Hand,Right-arm medium,Australia,0
19,MEK Hussey,Left_Hand,Right-arm medium,Australia,0
20,MS Dhoni,Right_Hand,Right-arm medium,India,0
21,SK Raina,Left_Hand,Right-arm offbreak,India,0
22,JDP Oram,Left_Hand,Right-arm fast-medium,New Zealand,0
23,S Badrinath,Right_Hand,Right-arm offbreak,India,0
24,K Goel,Left_Hand,Right-arm offbreak,India,0
25,JR Hopes,Right_Hand,Right-arm medium,Australia,0
26,KC Sangakkara,Left_Hand,Right-arm offbreak,Sri Lanka,0
27,Yuvraj Singh,Left_Hand,Slow left-arm orthodox,India,0
28,SM Katich,Left_Hand,Slow left-arm chinaman,Australia,0
29,IK Pathan,Left_Hand,Left-arm medium-fast,India,0
30,T Kohli,Right_Hand,Right-arm medium,India,0
31,YK Pathan,Right_Hand,Right-arm offbreak,India,0
32,SR Watson,Right_Hand,Right-arm fast-medium,Australia,0
33,M Kaif,Right_Hand,Right-arm offbreak,India,0
34,DS Lehmann,Left_Hand,Slow left-arm orthodox,Australia,0
35,RA Jadeja,Left_Hand,Slow left-arm orthodox,India,0
36,M Rawat,Right_Hand,NULL,India,0
37,D Salunkhe,Right_Hand,Legbreak,India,0
38,SK Warne,Right_Hand,Legbreak googly,Australia,0
