,Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country,Is_Umpire
0,1,SC Ganguly,7/8/1972,Left_Hand,Right-arm medium,India,0
1,2,BB McCullum,9/27/1981,Right_Hand,Right-arm medium,New Zealand,0
2,3,RT Ponting,12/19/1974,Right_Hand,Right-arm medium,Australia,0
3,4,DJ Hussey,7/15/1977,Right_Hand,Right-arm offbreak,Australia,0
4,5,Mohammad Hafeez,10/17/1980,Right_Hand,Right-arm offbreak,Pakistan,0
5,6,R Dravid,1/11/1973,Right_Hand,Right-arm offbreak,India,0
6,7,W Jaffer,2/16/1978,Right_Hand,Right-arm offbreak,India,0
7,8,V Kohli,11/5/1988,Right_Hand,Right-arm medium,India,0
8,9,JH Kallis,10/16/1975,Right_Hand,Right-arm fast-medium,South Africa,0
9,10,CL White,8/18/1983,Right_Hand,Legbreak googly,Australia,0
10,11,MV Boucher,12/3/1976,Right_Hand,Right-arm medium,South Africa,0
11,12,B Akhil,10/7/1977,Right_Hand,Right-arm medium-fast,India,0
12,13,AA Noffke,4/30/1977,Right_Hand,Right-arm fast-medium,Australia,0
13,14,P Kumar,10/2/1986,Right_Hand,Right-arm medium,India,0
14,15,Z Khan,10/7/1978,Right_Hand,Left-arm fast-medium,India,0
15,16,SB Joshi,6/6/1970,Left_Hand,Slow left-arm orthodox,India,0
16,17,PA Patel,3/9/1985,Left_Hand,,India,0
17,18,ML Hayden,10/29/1971,Left_Hand,Right-arm medium,Australia,0
18,19,MEK Hussey,5/27/1975,Left_Hand,Right-arm medium,Australia,0
19,20,MS Dhoni,7/7/1981,Right_Hand,Right-arm medium,India,0
20,21,SK Raina,11/27/1986,Left_Hand,Right-arm offbreak,India,0
21,22,JDP Oram,7/28/1978,Left_Hand,Right-arm fast-medium,New Zealand,0
22,23,S Badrinath,8/30/1980,Right_Hand,Right-arm offbreak,India,0
23,24,K Goel,12/24/1986,Left_Hand,Right-arm offbreak,India,0
24,25,JR Hopes,10/24/1978,Right_Hand,Right-arm medium,Australia,0
25,26,KC Sangakkara,10/27/1977,Left_Hand,Right-arm offbreak,Sri Lanka,0
26,27,Yuvraj Singh,12/12/1981,Left_Hand,Slow left-arm orthodox,India,0
27,28,SM Katich,8/21/1975,Left_Hand,Slow left-arm chinaman,Australia,0
28,29,IK Pathan,10/27/1984,Left_Hand,Left-arm medium-fast,India,0
29,30,T Kohli,12/17/1988,Right_Hand,Right-arm medium,India,0
30,31,YK Pathan,11/17/1982,Right_Hand,Right-arm offbreak,India,0
31,32,SR Watson,6/17/1981,Right_Hand,Right-arm fast-medium,Australia,0
32,33,M Kaif,12/1/1980,Right_Hand,Right-arm offbreak,India,0
33,34,DS Lehmann,2/5/1970,Left_Hand,Slow left-arm orthodox,Australia,0
34,35,RA Jadeja,12/6/1988,Left_Hand,Slow left-arm orthodox,India,0
35,36,M Rawat,10/25/1985,Right_Hand,,India,0
36,37,D Salunkhe,11/12/1982,Right_Hand,Legbreak,India,0
37,38,SK Warne,9/13/1969,Right_Hand,Legbreak googly,Australia,0
38,39,SK Trivedi,9/4/1982,Right_Hand,Right-arm medium,India,0
39,40,G Gambhir,10/14/1981,Left_Hand,Legbreak,India,0
40,41,V Sehwag,10/20/1978,Right_Hand,Right-arm offbreak,India,0
41,42,S Dhawan,12/5/1985,Left_Hand,Right-arm offbreak,India,0
42,43,L Ronchi,4/23/1981,Right_Hand,,Australia,0
43,44,ST Jayasuriya,6/30/1969,Left_Hand,Slow left-arm orthodox,Sri Lanka,0
44,45,DJ Thornely,10/1/1978,Right_Hand,Right-arm medium,Australia,0
45,46,RV Uthappa,11/11/1985,Right_Hand,Right-arm medium,India,0
46,47,PR Shah,11/3/1987,Right_Hand,,India,0
47,48,AM Nayar,10/8/1983,Left_Hand,Right-arm medium,India,0
48,49,SM Pollock,7/16/1973,Right_Hand,Right-arm fast-medium,South Africa,0
49,50,Harbhajan Singh,7/3/1980,Right_Hand,Right-arm offbreak,India,0
50,51,S Chanderpaul,8/16/1974,Left_Hand,Legbreak,West Indies,0
51,52,LRPL Taylor,3/8/1984,Right_Hand,Right-arm offbreak,New Zealand,0
52,53,AC Gilchrist,11/14/1971,Left_Hand,Right-arm offbreak,Australia,0
53,54,Y Venugopal Rao,2/26/1982,Right_Hand,Right-arm offbreak,India,0
54,55,VVS Laxman,11/1/1974,Right_Hand,Right-arm offbreak,India,0
55,56,A Symonds,6/9/1975,Right_Hand,Right-arm offbreak,Australia,0
56,57,RG Sharma,4/30/1987,Right_Hand,Right-arm offbreak,India,0
57,58,SB Styris,7/10/1975,Right_Hand,Right-arm medium,New Zealand,0
58,59,SB Bangar,10/11/1972,Right_Hand,Right-arm medium-fast,India,0
59,60,WPUJC Vaas,1/27/1974,Left_Hand,Left-arm fast-medium,Sri Lanka,0
60,61,RP Singh,12/6/1985,Right_Hand,Left-arm fast-medium,India,0
61,62,WP Saha,10/24/1984,Right_Hand,,India,0
62,63,LR Shukla,5/6/1981,Right_Hand,Right-arm medium,India,0
63,64,DPMD Jayawardene,5/27/1977,Right_Hand,Right-arm medium,Sri Lanka,0
64,65,S Sohal,11/10/1987,Right_Hand,Legbreak,India,0
65,66,B Lee,11/8/1976,Right_Hand,Right-arm fast,Australia,0
66,67,PP Chawla,12/24/1988,Left_Hand,Legbreak,India,0
67,68,WA Mota,9/20/1981,Right_Hand,Right-arm medium,India,0
68,69,Kamran Akmal,1/13/1982,Right_Hand,,Pakistan,0
69,70,Shahid Afridi,3/1/1980,Right_Hand,Legbreak googly,Pakistan,0
70,71,DJ Bravo,10/7/1983,Right_Hand,Right-arm medium-fast,West Indies,0
71,72,MA Khote,4/22/1980,Right_Hand,Right-arm medium,India,0
72,73,A Nehra,4/29/1979,Right_Hand,Left-arm medium-fast,India,0
73,74,GC Smith,2/1/1981,Left_Hand,Right-arm offbreak,South Africa,0
74,75,Pankaj Singh,5/6/1985,Right_Hand,Right-arm medium-fast,India,0
75,76,RR Sarwan,6/23/1980,Right_Hand,Legbreak,West Indies,0
76,77,S Sreesanth,2/6/1983,Right_Hand,Right-arm fast-medium,India,0
77,78,VRV Singh,9/17/1984,Right_Hand,Right-arm medium-fast,India,0
78,79,SS Tiwary,12/30/1989,Left_Hand,,India,0
79,80,DS Kulkarni,12/10/1988,Right_Hand,Right-arm medium,India,0
80,81,R Vinay Kumar,2/12/1984,Right_Hand,Right-arm medium,India,0
81,82,AB Agarkar,12/4/1977,Right_Hand,Right-arm fast,India,0
82,83,M Kartik,9/11/1976,Left_Hand,Slow left-arm orthodox,India,0
83,84,I Sharma,9/2/1988,Right_Hand,Right-arm fast-medium,India,0
84,85,AM Rahane,6/6/1988,Right_Hand,Right-arm medium,India,0
85,86,Shoaib Malik,2/1/1982,Right_Hand,Right-arm offbreak,Pakistan,0
86,87,MK Tiwary,11/14/1985,Right_Hand,Legbreak googly,India,0
87,88,KD Karthik,6/1/1985,Right_Hand,,India,0
88,89,R Bhatia,10/22/1979,Right_Hand,Right-arm medium-fast,India,0
89,90,MF Maharoof,9/7/1984,Right_Hand,Right-arm fast-medium,India,0
90,91,VY Mahesh,12/21/1987,Right_Hand,Right-arm medium-fast,India,0
91,92,TM Srivastava,11/7/1989,Left_Hand,Right-arm medium,India,0
92,93,B Chipli,1/27/1983,Right_Hand,Right-arm medium,India,0
93,94,DW Steyn,6/27/1983,Right_Hand,Right-arm fast,South Africa,0
94,95,DB Das,9/22/1986,Right_Hand,Legbreak googly,India,0
95,96,MK Pandey,9/10/1989,Right_Hand,Right-arm medium,India,0
96,97,HH Gibbs,2/23/1974,Right_Hand,Right-arm bowler,South Africa,0
97,98,DNT Zoysa,5/13/1978,Left_Hand,Left-arm fast-medium,Sri Lanka,0
98,99,D Kalyankrishna,12/16/1983,Right_Hand,Right-arm medium-fast,India,0
99,100,SE Marsh,7/9/1983,Left_Hand,Slow left-arm orthodox,Australia,0
100,101,SA Asnodkar,3/29/1984,Right_Hand,Right-arm offbreak,India,0
101,102,Sohail Tanvir,12/12/1984,Left_Hand,Left-arm medium-fast,Pakistan,0
102,103,Salman Butt,10/7/1984,Left_Hand,Right-arm offbreak,Pakistan,0
103,104,BJ Hodge,12/29/1974,Right_Hand,Right-arm offbreak,Australia,0
104,105,Umar Gul,4/14/1984,Right_Hand,Right-arm fast-medium,Pakistan,0
105,106,AB Dinda,3/25/1984,Right_Hand,Right-arm medium-fast,India,0
106,107,SP Fleming,4/1/1973,Left_Hand,,New Zealand,0
107,108,S Vidyut,12/3/1981,Left_Hand,Slow left-arm orthodox,India,0
108,109,JA Morkel,6/10/1981,Left_Hand,Right-arm medium-fast,South Africa,0
109,110,AB de Villiers,2/17/1984,Right_Hand,Right-arm medium,South Africa,0
110,111,LPC Silva,12/14/1979,Right_Hand,Legbreak,Sri Lanka,0
111,112,DB Ravi Teja,9/5/1987,Right_Hand,Legbreak googly,India,0
112,113,Misbah-ul-Haq,5/28/1974,Right_Hand,Legbreak,Pakistan,0
113,114,YV Takawale,11/5/1984,Right_Hand,,India,0
114,115,RR Raje,9/3/1986,Right_Hand,Right-arm fast-medium,India,0
115,116,PJ Sangwan,11/5/1990,Right_Hand,Left-arm medium,India,0
116,117,Mohammad Asif,12/20/1982,Left_Hand,Right-arm fast-medium,Pakistan,0
117,118,GD McGrath,2/9/1970,Right_Hand,Right-arm fast-medium,Australia,0
118,119,Joginder Sharma,10/23/1983,Right_Hand,Right-arm fast-medium,India,0
119,120,MS Gony,1/4/1984,Right_Hand,Right-arm medium,India,0
120,121,M Muralitharan,4/17/1972,Right_Hand,Right-arm offbreak,Sri Lanka,0
121,122,M Ntini,7/6/1977,Right_Hand,Right-arm fast,South Africa,0
122,123,DT Patil,12/6/1984,Right_Hand,,India,0
123,124,A Kumble,10/17/1970,Right_Hand,Legbreak googly,India,0
124,125,S Anirudha,4/14/1987,Right_Hand,,India,0
125,126,MM Patel,7/12/1983,Right_Hand,Right-arm medium-fast,India,0
